Name,Release Date,Rating,Genre(s),Platform(s),Theme(s),Keyword(s),Developer(s),Player Perspective,Game Mode(s)
Burdenfall,2027-12-31,,"Strategy, Indie, Card & Board Game",PC (Microsoft Windows),Fantasy,"roguelike, deck-building, roguelike deckbuilder",Leftovers Games,Side view,Single player
Eternity,2027-12-31,,"Real Time Strategy (RTS), Simulator, Strategy, Indie",PC (Microsoft Windows),"Science fiction, Survival, 4X (explore, expand, exploit, and exterminate)","space simulation, exploration, space mining, dark, roguelike, procedural generation, resource management, space exploration, base building, economy, city builder, resource gathering, macromanagement, automation, survival management, colony simulator, political simulation, moddable",Ground Control Studios,Bird view / Isometric,Single player
Neko's Rage,2027-12-31,,"Platform, Indie",PC (Microsoft Windows),Action,"2d platformer, roguelite",,Side view,Single player
Heroes of Anirea,2027-06-30,,"Role-playing (RPG), Strategy, Turn-based strategy (TBS), Tactical, Indie",PC (Microsoft Windows),Fantasy,"tactical turn-based combat, roguelite, turn-based rpg, roguelike deckbuilder",Crossbros Games,Bird view / Isometric,Single player
Zeroth,2027-03-31,,"Platform, Role-playing (RPG), Adventure, Indie",PC (Microsoft Windows),"Action, Comedy, Sandbox","roguelike, traditional roguelike, roguelike platform, action roguelike",Contrary Games,Side view,"Single player, Split screen"
Ophelia´s Paradise,2026-12-31,,"Hack and slash/Beat 'em up, Indie","Linux, Android, PC (Microsoft Windows), Mac","Action, Fantasy, Survival","bullet hell, arena shooter, roguelite, bullet heaven, action roguelike",,Bird view / Isometric,Single player
Panema,2026-12-31,,"Strategy, Indie",PC (Microsoft Windows),,"casual, roguelike, roguelite",RelampaguM,Bird view / Isometric,Single player
Ritterschlag,2026-12-31,,"Fighting, Role-playing (RPG), Strategy, Indie",PC (Microsoft Windows),"Historical, Warfare","medieval, roguelite, combat simulator, autobattler",Three River Games,"Third person, Bird view / Isometric, Side view",Single player
Banneret,2026-12-31,,"Role-playing (RPG), Strategy, Indie",PC (Microsoft Windows),Fantasy,"roguelike, deck-building, auto battler",Rymdfall,Bird view / Isometric,Single player
Infinitory,2026-12-31,,"Simulator, Strategy, Indie","Linux, PC (Microsoft Windows)",Survival,"tower defense, automation, roguelite, factory",,Bird view / Isometric,Single player
Atrum,2026-12-31,,"Role-playing (RPG), Indie",PC (Microsoft Windows),"Action, Fantasy","roguelike, spellcaster",Duskwake Games,Third person,Single player
CrackSword,2026-12-31,,"Fighting, Adventure, Indie",PC (Microsoft Windows),"Action, Fantasy","swordplay, surreal, hand-drawn, duel, roguelite, sword fight",SalmonellaSalami,Side view,"Single player, Multiplayer, Split screen"
Alchemia Rogue: Mia and the Mystery Labyrinth,2026-12-31,,"Role-playing (RPG), Indie",PC (Microsoft Windows),Fantasy,"roguelike, female protagonist, alchemy",Limeleaf Games,Bird view / Isometric,Single player
Castle Away,2026-12-31,,"Role-playing (RPG), Strategy, Indie",PC (Microsoft Windows),Fantasy,"medieval, 2d, crafting, demons, indiegogo, pve, base building, hand-drawn, colorful, roguelite, deckbuilder, autobattler, loot",,"Bird view / Isometric, Side view",Single player
The Internal,2026-12-31,,"Role-playing (RPG), Indie",PC (Microsoft Windows),Action,roguelike,StudioPlayer3,Third person,Single player
Tokens,2026-12-31,,"Puzzle, Strategy, Tactical, Indie, Card & Board Game",PC (Microsoft Windows),"Fantasy, Non-fiction, Mystery","collecting, card based combat, card collection, roguelite, roguelike deckbuilder, deckbuilder, deck building",Atelier QDB,Bird view / Isometric,Single player
Grim Path,2026-12-31,,"Role-playing (RPG), Strategy, Indie, Card & Board Game",PC (Microsoft Windows),Fantasy,roguelike,Zabbo Games,,Single player
Soul Card Duel,2026-12-31,,"Strategy, Tactical, Indie, Card & Board Game","PC (Microsoft Windows), Mac",Fantasy,"roguelite, nextfest february 2026, deck building",Andoryu Learu,Bird view / Isometric,Single player
Tileweaver,2026-12-31,,"Puzzle, Strategy, Adventure, Indie",PC (Microsoft Windows),Fantasy,"roguelike, nextfest february 2026",,,Single player
Gunclone Arena,2026-12-31,,"Shooter, Indie","Linux, PC (Microsoft Windows), Mac","Action, Science fiction, Survival","roguelite, looter shooter, ai-generated artwork, weapons, action roguelike, loot, horde survival",Off North Games,Bird view / Isometric,Single player
Land of the Dead Trees,2026-12-31,,"Role-playing (RPG), Indie",PC (Microsoft Windows),"Action, Fantasy",roguelike,Red Core Interactive,Third person,Single player
The Whispering Bones,2026-12-31,,"Simulator, Strategy, Indie",PC (Microsoft Windows),Horror,"psychological horror, roguelike, dice",,,Single player
Plinkomancy,2026-12-31,,"Strategy, Indie, Arcade",PC (Microsoft Windows),,"roguelike, gambling, roguelite, roguelike deckbuilder, deckbuilder, gambling simulation",Fazerdoo's studio,First person,Single player
Isekai HKV,2026-12-31,,"Simulator, Strategy, Adventure, Indie",PC (Microsoft Windows),Action,"anime, 2d, roguelike, survival mode, gacha system, roguelite, vtuber, survival shooter, top-down",Deep Frame Studio,Bird view / Isometric,Single player
Shadowstone,2026-12-31,,Strategy,PC (Microsoft Windows),,roguelite,"Secret Door, Dreamhaven",Bird view / Isometric,"Single player, Multiplayer, Co-operative"
