item_id,game_title,developer,release_year,steam_url,horror_tag_present,singleplayer,multiplayer,co_op,survival_language_present,psychological_horror_present,gore_emphasis,combat_emphasis,story_emphasis,immersion_language_present,horror_style,notes
1,FATAL FRAME II: Crimson Butterfly REMAKE,"KOEI TECMO GAMES CO., LTD.","Mar 11, 2026",https://store.steampowered.com/app/3920610/FATAL_FRAME_II_Crimson_Butterfly_REMAKE/,yes,yes,no,no,yes,yes,low,low,yes,yes,"psychological, supernatural, survival",Atmospheric supernatural horror with strong story and exploration emphasis; less combat-focused than action-heavy horror games.
2,Outlast,Red Barrels,"Sep 4, 2013",https://store.steampowered.com/app/238320/Outlast/,yes,yes,no,no,yes,yes,high,low,yes,yes,"psychological, survival",Strong helplessness/escape framing; a good example of horror built around fleeing rather than fighting.
3,Resident Evil Requiem,"CAPCOM Co., Ltd.","Feb 26, 2026",https://store.steampowered.com/app/3764200/Resident_Evil_Requiem/,yes,yes,no,no,yes,no,high,high,yes,yes,"survival, action-horror","Survival-horror framing with heavy tension and atmosphere, but combat/action also feels strongly present."
4,Resident Evil 4 (2005),Capcom,"Feb 27, 2014",https://store.steampowered.com/app/254700/Resident_Evil_4_2005/,yes,yes,no,no,no,no,high,high,yes,no,"action-horror, survival",Action-heavy horror with strong combat emphasis; less psychological and atmosphere-first than other entries.
5,The Forest,Endnight Games Ltd,"Apr 30, 2018",https://store.steampowered.com/app/242760/The_Forest/,yes,yes,no,yes,yes,no,high,high,no,yes,"action-horror, survival, co-op horror","Heavy survival framing with building, crafting, defense, and fighting mutants."
6,Lethal Company,Zeekerss,"Oct 23, 2023",https://store.steampowered.com/app/1966720/Lethal_Company/,yes,yes,no,yes,yes,yes,medium,low,no,yes,"co-op horror, psychological, survival","Co-op survival horror centered on scavenging, teamwork, and tension rather than combat."
7,SILENT HILL f,NeoBards Entertainment Ltd.,"Sep 24, 2025",https://store.steampowered.com/app/2947440/SILENT_HILL_f/,yes,yes,no,no,no,yes,high,low,yes,yes,"psychological, supernatural",Very story-forward psychological horror with disturbing themes and strong atmosphere.
8,Dead Space,Motive,"Jan 27, 2023",https://store.steampowered.com/app/1693980/Dead_Space/,yes,yes,no,no,yes,yes,high,high,yes,yes,"survival, action-horror, sci-fi","Sci-fi survival horror mixing gore, action, and cinematic immersion."
9,Phasmophobia,Kinetic Games,"Sep 18, 2020",https://store.steampowered.com/app/739630/Phasmophobia/,yes,yes,yes,yes,yes,yes,low,low,no,yes,"co-op, psychological, supernatural","Co-op ghost-investigation horror focused on teamwork, evidence gathering, and tension."
10,Escape the Backrooms,"Fancy Games, Blackbird Interactive","Oct 23, 2025",https://store.steampowered.com/app/1943950/Escape_the_Backrooms/,yes,yes,yes,yes,yes,yes,low,low,no,yes,"co-op, psychological, survival","Backrooms-style co-op horror built around getting lost, avoiding entities, and team tension."
11,"No, I'm not a Human",Trioskaz,"Sep 15, 2025",https://store.steampowered.com/app/3180070/No_Im_not_a_Human/,yes,yes,no,no,yes,yes,high,medium,yes,yes,"psychological, paranoia, survival","Paranoia-based horror focused on suspicion, story, and moral pressure more than action."
12,Dead by Daylight,Behaviour Interactive Inc.,"Jun 14, 2016",https://store.steampowered.com/app/381210/Dead_by_Daylight/,yes,no,yes,yes,yes,yes,high,medium,no,yes,"multiplayer, co-op, survival","Multiplayer horror framed around chase, teamwork, and survival rather than a story campaign."
13,Resident Evil 7 Biohazard,"CAPCOM Co., Ltd.","Jan 23, 2017",https://store.steampowered.com/app/418370/Resident_Evil_7_Biohazard/,yes,yes,no,no,yes,yes,high,medium,yes,yes,"survival, psychological, first-person",Isolation-heavy survival horror sold through first-person immersion and the farmhouse setting.
14,Amnesia: The Dark Descent,Frictional Games,"Sep 8, 2010",https://store.steampowered.com/app/57300/Amnesia_The_Dark_Descent/,yes,yes,no,no,yes,yes,medium,low,yes,yes,"psychological, survival, first-person","Classic helpless survival horror built around immersion, discovery, and being hunted."
15,Amnesia: The Bunker,Frictional Games,"Jun 6, 2023",https://store.steampowered.com/app/1944430/Amnesia_The_Bunker/,yes,yes,no,no,yes,yes,medium,medium,no,yes,"survival, psychological, first-person","Survival depends on tools, light management, and evading a relentless monster."
